id,plan_id/id,code,name,sped_account_type,sped_parent_code,sped_nature,sped_date_start,sped_date_end
ref_1_1_02_03_04_55,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.04.55,(-) Perdas por Redução ao Valor Recuperável (Impairment) - Ativos Biológicos de Produção,A,1.02.03.04,1,2015-01-01,
ref_1_1_02_03_04_70,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.04.70,Subconta - Ajuste a Valor Justo (AVJ) – Ativos Biológicos de Produção,A,1.02.03.04,1,2015-01-01,
ref_1_1_02_03_04_75,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.04.75,( - ) Subconta – Ajuste a Valor Presente (AVP) - Ativos Biológicos de Produção,A,1.02.03.04,1,2015-01-01,
ref_1_1_02_03_04_76,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.04.76,Subconta - Ajuste Valor Presente – Depreciação Acumulada - Ativos Biológicos de Produção,A,1.02.03.04,1,2015-01-01,
ref_1_1_02_03_04_78,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.04.78,Subconta - Ajuste Valor Presente – Exaustão Acumulada - Ativos Biológicos de Produção,A,1.02.03.04,1,2015-01-01,
ref_1_1_02_03_04_90,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.04.90,Subconta – Adoção Inicial - Ativos Biológicos de Produção,A,1.02.03.04,1,2015-01-01,
ref_1_1_02_03_04_91,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.04.91,Subconta – Adoção Inicial – Depreciação Acumulada – Ativo Biológico de Produção,A,1.02.03.04,1,2015-01-01,
ref_1_1_02_03_04_93,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.04.93,Subconta – Adoção Inicial – Exaustão Acumulada – Ativo Biológico de Produção,A,1.02.03.04,1,2015-01-01,
ref_1_1_02_03_04_95,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.04.95,Subconta – Adoção Inicial – Taxa Depreciação Diferente - Ativos Biológicos de Produção,A,1.02.03.04,1,2015-01-01,
ref_1_1_02_03_05,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.05,OUTROS IMOBILIZADOS,S,1.02.03,1,2015-01-01,
ref_1_1_02_03_05_03,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.05.03,Imobilizados Recebidos em Subvenções Governamentais,A,1.02.03.05,1,2015-01-01,
