id,codigo,nome,dt_inicio,dt_fim,cod_cnae
cnae_mei_8599605,8599605,Cursos preparatórios para concursos,2016-07-01,,8599605
cnae_mei_8599699,8599699,Outras atividades de ensino não especificadas anteriormente,2016-07-01,,8599699
cnae_mei_8712300,8712300,Atividades de fornecimento de infra-estrutura de apoio e assistência a paciente no domicílio,2016-07-01,,8712300
cnae_mei_9001901,9001901,Produção teatral,2016-07-01,,9001901
cnae_mei_9001902,9001902,Produção musical,2016-07-01,,9001902
cnae_mei_9001906,9001906,Atividades de sonorização e de iluminação,2016-07-01,,9001906
cnae_mei_9002702,9002702,Restauração de obras de arte,2016-07-01,,9002702
cnae_mei_9102302,9102302,Restauração e conservação de lugares e prédios históricos,2016-07-01,,9102302
cnae_mei_9329803,9329803,"Exploração de jogos de sinuca, bilhar e similares",2016-07-01,,9329803
cnae_mei_9329804,9329804,Exploração de jogos eletrônicos recreativos,2016-07-01,,9329804
cnae_mei_9329899,9329899,Outras atividades de recreação e lazer não especificadas anteriormente,2016-07-01,,9329899
cnae_mei_9511800,9511800,Reparação e manutenção de computadores e de equipamentos periféricos,2016-07-01,,9511800
cnae_mei_9512600,9512600,Reparação e manutenção de equipamentos de comunicação,2016-07-01,,9512600
cnae_mei_9521500,9521500,Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico,2016-07-01,,9521500
cnae_mei_9529101,9529101,"Reparação de calçados, de bolsas e artigos de viagem",2016-07-01,,9529101
cnae_mei_9529102,9529102,Chaveiros,2016-07-01,,9529102
cnae_mei_9529103,9529103,Reparação de relógios,2016-07-01,,9529103
cnae_mei_9529104,9529104,"Reparação de bicicletas, triciclos e outros veículos não-motorizados",2016-07-01,,9529104
cnae_mei_9529105,9529105,Reparação de artigos do mobiliário,2016-07-01,,9529105
cnae_mei_9529106,9529106,Reparação de jóias,2016-07-01,,9529106
cnae_mei_9529199,9529199,Reparação e manutenção de outros objetos e equipamentos pessoais e domésticos não especificados anteriormente,2016-07-01,,9529199
cnae_mei_9601701,9601701,Lavanderias,2016-07-01,,9601701
cnae_mei_9601702,9601702,Tinturarias,2016-07-01,,9601702
cnae_mei_9601703,9601703,Toalheiros,2016-07-01,,9601703
cnae_mei_9602501,9602501,"Cabeleireiros, manicure e pedicure",2016-07-01,,9602501
cnae_mei_9602502,9602502,Atividades de estética e outros serviços de cuidados com a beleza,2016-07-01,,9602502
cnae_mei_9603303,9603303,Serviços de sepultamento,2016-07-01,,9603303
cnae_mei_9603304,9603304,Serviços de funerárias,2016-07-01,,9603304
cnae_mei_9603399,9603399,Atividades funerárias e serviços relacionados não especificados anteriormente,2016-07-01,,9603399
cnae_mei_9609202,9609202,Agências matrimoniais,2016-07-01,,9609202
