id,codigo,nome,dt_inicio,dt_fim,nat_rubr,tp_rubr,cod_inc_cp,cod_inc_irrf,cod_inc_fgts,cod_inc_sind,rep_dsr,rep_13,rep_ferias,rep_resc,rep_afast,fator_rubr
rubr_pad_esocial5140_245,eSocial5140,Danos causados pelo empregado - Desconto,2021-07-01,,9270,2,0,9,0,0,N,N,N,N,N,
rubr_pad_esocial5150,eSocial5150,Previdência privada - Desconto,2014-01-01,2021-06-30,9223,2,0,0,0,0,N,N,N,N,N,
rubr_pad_esocial5150_247,eSocial5150,Previdência privada - Desconto,2021-07-01,,9223,2,0,9,0,0,N,N,N,N,N,
rubr_pad_esocial5160,eSocial5160,Seguro de Vida - Desconto,2014-01-01,2021-06-30,9250,2,0,0,0,0,N,N,N,N,N,
rubr_pad_esocial5160_249,eSocial5160,Seguro de Vida - Desconto,2021-07-01,,9250,2,0,9,0,0,N,N,N,N,N,
rubr_pad_esocial5161,eSocial5161,Empréstimos consignados - desconto,2014-01-01,,9254,2,0,9,0,0,N,N,N,N,N,
rubr_pad_esocial5163,eSocial5163,Convênios,2014-01-01,,9258,2,0,9,0,0,N,N,N,N,N,
rubr_pad_esocial5164,eSocial5164,Fies - Desconto,2014-01-01,,9260,2,0,9,0,0,N,N,N,N,N,
rubr_pad_esocial5165,eSocial5165,Assistência Médica - Desconto,2014-01-01,2021-06-30,9219,2,0,0,0,0,N,N,N,N,N,
rubr_pad_esocial5165_254,eSocial5165,Assistência Médica - Desconto,2021-07-01,,9219,2,0,9,0,0,N,N,N,N,N,
rubr_pad_esocial5166,eSocial5166,Assistência Médica e/ou Odontológica - Desconto (empregado doméstico),2014-01-01,2021-06-30,9299,2,0,0,0,0,N,N,N,N,N,
rubr_pad_esocial5166_256,eSocial5166,Assistência Médica e/ou Odontológica - Desconto (empregado doméstico),2021-07-01,,9299,2,0,9,0,0,N,N,N,N,N,
rubr_pad_esocial5170,eSocial5170,Habitação (empregado doméstico),2014-01-01,2021-06-30,9299,2,0,0,0,0,N,N,N,N,N,
rubr_pad_esocial5170_258,eSocial5170,Habitação (empregado doméstico),2021-07-01,,9299,2,0,9,0,0,N,N,N,N,N,
rubr_pad_esocial5180,eSocial5180,Contribuição previdenciária do empregado (INSS),2014-01-01,2021-06-30,9201,2,31,0,0,0,N,N,N,N,N,
rubr_pad_esocial5180_260,eSocial5180,Contribuição previdenciária do empregado (INSS),2021-07-01,,9201,2,31,9,0,0,N,N,N,N,N,
rubr_pad_esocial5181,eSocial5181,Contribuição previdenciária do empregado sobre 13º Salário (INSS),2014-01-01,,9201,2,32,42,0,0,N,N,N,N,N,
