id,processo,nr_inscricao,dt_inicio,dt_fim
proc_fap_1711060023503011,1711060023503011,33438250049417,2018-01-01,
proc_fap_1711060023504011,1711060023504011,07718633004508,2018-01-01,
proc_fap_1711010023505011,1711010023505011,03763491000200,2018-01-01,
proc_fap_1711060023506011,1711060023506011,07718633004761,2018-01-01,
proc_fap_1711060023507011,1711060023507011,07718633004923,2018-01-01,
proc_fap_1711060023508011,1711060023508011,07718633005229,2018-01-01,
proc_fap_1711060023509011,1711060023509011,07718633005300,2018-01-01,
proc_fap_1711060023510021,1711060023510021,07718633005571,2018-01-01,
proc_fap_1711060023511011,1711060023511011,07718633005652,2018-01-01,
proc_fap_1711060023512011,1711060023512011,52717659000752,2018-01-01,
proc_fap_1711060023513011,1711060023513011,07718633005733,2018-01-01,
proc_fap_1711060023514011,1711060023514011,07718633005814,2018-01-01,
proc_fap_1711060023516011,1711060023516011,07718633005903,2018-01-01,
proc_fap_1711060023517011,1711060023517011,61412110001208,2018-01-01,
proc_fap_1711060023518011,1711060023518011,61412110006439,2018-01-01,
proc_fap_1711060023519011,1711060023519011,61412110009535,2018-01-01,
proc_fap_1711060023520011,1711060023520011,61412110011270,2018-01-01,
proc_fap_1711060023522011,1711060023522011,61412110013800,2018-01-01,
proc_fap_1711060023523011,1711060023523011,61412110017392,2018-01-01,
proc_fap_1711060023524011,1711060023524011,61412110017473,2018-01-01,
proc_fap_1711060023521021,1711060023521021,07718633006039,2018-01-01,
proc_fap_1711060023525011,1711060023525011,61412110019689,2018-01-01,
proc_fap_1711060023526011,1711060023526011,61412110020008,2018-01-01,
proc_fap_1711060023527011,1711060023527011,61412110025069,2018-01-01,
proc_fap_1711060023528011,1711060023528011,61412110027940,2018-01-01,
proc_fap_1711060023529011,1711060023529011,61412110029560,2018-01-01,
proc_fap_1711060023530011,1711060023530011,61412110029641,2018-01-01,
proc_fap_1711060023515021,1711060023515021,52717659000590,2018-01-01,
proc_fap_1711010023531011,1711010023531011,96754734001964,2018-01-01,
proc_fap_1711060023532011,1711060023532011,61412110032782,2018-01-01,
proc_fap_1711060023533011,1711060023533011,05169759000116,2018-01-01,
proc_fap_1711010023534011,1711010023534011,07924408000107,2018-01-01,
proc_fap_1711060023535011,1711060023535011,75170191000139,2018-01-01,
proc_fap_1711060023536011,1711060023536011,61412110041501,2018-01-01,
proc_fap_1711060023537011,1711060023537011,61412110046902,2018-01-01,
proc_fap_1711060023538011,1711060023538011,61412110047038,2018-01-01,
proc_fap_1711060023539011,1711060023539011,61412110048190,2018-01-01,
proc_fap_1711060023540011,1711060023540011,61412110057505,2018-01-01,
proc_fap_1711060023541011,1711060023541011,61412110065877,2018-01-01,
proc_fap_1711060023542011,1711060023542011,08419273000500,2018-01-01,
proc_fap_1711060023543011,1711060023543011,04043327000100,2018-01-01,
proc_fap_1711060023544011,1711060023544011,04872297000136,2018-01-01,
proc_fap_1711060023545011,1711060023545011,59107300000389,2018-01-01,
proc_fap_1711060023546011,1711060023546011,47180625002009,2018-01-01,
proc_fap_1711060023547011,1711060023547011,47180625002190,2018-01-01,
proc_fap_1711010023548011,1711010023548011,06127582000662,2018-01-01,
proc_fap_1711060023549011,1711060023549011,00933353000144,2018-01-01,
proc_fap_1711010023550011,1711010023550011,84812908000190,2018-01-01,
proc_fap_1711060023551011,1711060023551011,01226768000140,2018-01-01,
proc_fap_1711060023552011,1711060023552011,08419673000192,2018-01-01,
proc_fap_1711060023553011,1711060023553011,10407005000197,2018-01-01,
proc_fap_1711060023554011,1711060023554011,41037250000183,2018-01-01,
proc_fap_1711070023555021,1711070023555021,61412110052384,2018-01-01,
proc_fap_1711010023556011,1711010023556011,88674080000101,2018-01-01,
proc_fap_1711070023557011,1711070023557011,64700735000291,2018-01-01,
proc_fap_1711070023558011,1711070023558011,47881602000169,2018-01-01,
proc_fap_1711070023559011,1711070023559011,92190503000195,2018-01-01,
proc_fap_1711070023561011,1711070023561011,59280685000209,2018-01-01,
proc_fap_1711070023562021,1711070023562021,05677591000311,2018-01-01,
proc_fap_1711070023560021,1711070023560021,05677591001636,2018-01-01,
proc_fap_1711070023563011,1711070023563011,05677591002284,2018-01-01,
proc_fap_1711070023564011,1711070023564011,05677591002527,2018-01-01,
proc_fap_1711070023565011,1711070023565011,03069071000139,2018-01-01,
proc_fap_1711060023566011,1711060023566011,49219538000180,2018-01-01,
proc_fap_1711070023567011,1711070023567011,07158073001399,2018-01-01,
proc_fap_1711030023568011,1711030023568011,07158073000155,2018-01-01,
proc_fap_1711070023569011,1711070023569011,61506481000104,2018-01-01,
proc_fap_1711070023570011,1711070023570011,61506481002735,2018-01-01,
proc_fap_1711070023572011,1711070023572011,61506481001844,2018-01-01,
proc_fap_1711070023573011,1711070023573011,06313226000129,2018-01-01,
proc_fap_1711060023575011,1711060023575011,60881992000135,2018-01-01,
proc_fap_1711070023576011,1711070023576011,04287849000149,2018-01-01,
proc_fap_1711070023577011,1711070023577011,60870847000159,2018-01-01,
proc_fap_1711070023578011,1711070023578011,59105999000348,2018-01-01,
proc_fap_1711070023579011,1711070023579011,07981751000185,2018-01-01,
